uf; renda_media_total; renda_branco; renda_pardo; renda_preto; renda_preto_pardo; renda_media_homem; renda_homem_branco; renda_homem_preto; renda_homem_pardo; renda_homem_preto_pardo; renda_media_mulher; renda_mulher_branca; renda_mulher_preta; renda_mulher_parda; renda_mulher_preta_parda
RO;  1013 ;  1167 ;   748 ;   972 ;   945 ;  1050 ;  1185 ;   782 ;  1016 ;   987 ;   976 ;  1148 ;   713 ;   928 ;   903 
AC;   882 ;  1289 ;   923 ;   800 ;   809 ;   894 ;  1321 ;   930 ;   809 ;   819 ;   870 ;  1258 ;   912 ;   792 ;   799 
AM;   810 ;  1238 ;   855 ;   735 ;   739 ;   841 ;  1252 ;   934 ;   766 ;   773 ;   777 ;  1225 ;   752 ;   701 ;   703 
RR;  1027 ;  1848 ;   715 ;   845 ;   833 ;  1057 ;  1944 ;   747 ;   860 ;   848 ;   997 ;  1756 ;   671 ;   829 ;   818 
PA;   828 ;  1287 ;   719 ;   733 ;   731 ;   832 ;  1264 ;   725 ;   752 ;   749 ;   823 ;  1308 ;   711 ;   713 ;   713 
AP;   844 ;  1213 ;  1014 ;   755 ;   777 ;   900 ;  1271 ;  1055 ;   815 ;   836 ;   791 ;  1162 ;   973 ;   698 ;   721 
TO;  1055 ;  1483 ;   973 ;   947 ;   951 ;  1152 ;  1669 ;   964 ;  1042 ;  1029 ;   957 ;  1296 ;   984 ;   854 ;   870 
MA;   639 ;   917 ;   605 ;   579 ;   582 ;   649 ;   914 ;   639 ;   595 ;   601 ;   629 ;   920 ;   569 ;   563 ;   564 
PI;   847 ;  1139 ;   888 ;   761 ;   774 ;   875 ;  1184 ;   895 ;   785 ;   796 ;   821 ;  1095 ;   882 ;   739 ;   754 
CE;   899 ;  1161 ;   776 ;   808 ;   805 ;   894 ;  1105 ;   812 ;   827 ;   826 ;   904 ;  1208 ;   735 ;   790 ;   786 
RN;  1110 ;  1349 ;   794 ;   983 ;   957 ;  1214 ;  1408 ;   888 ;  1132 ;  1095 ;  1011 ;  1296 ;   685 ;   843 ;   823 
PB;   872 ;  1163 ;   621 ;   745 ;   732 ;   897 ;  1189 ;   644 ;   773 ;   759 ;   847 ;  1138 ;   598 ;   718 ;   706 
PE;   838 ;  1184 ;   830 ;   657 ;   676 ;   871 ;  1261 ;   879 ;   671 ;   696 ;   807 ;  1115 ;   776 ;   642 ;   656 
AL;   757 ;   956 ;   708 ;   672 ;   675 ;   769 ;   945 ;   696 ;   697 ;   697 ;   745 ;   966 ;   721 ;   650 ;   655 
SE;   922 ;  1371 ;   793 ;   796 ;   796 ;   966 ;  1405 ;   908 ;   835 ;   845 ;   881 ;  1341 ;   671 ;   761 ;   750 
BA;   845 ;  1210 ;   722 ;   774 ;   760 ;   866 ;  1155 ;   742 ;   824 ;   802 ;   826 ;  1258 ;   703 ;   726 ;   720 
MG;  1308 ;  1666 ;  1005 ;  1060 ;  1050 ;  1337 ;  1678 ;  1077 ;  1100 ;  1096 ;  1280 ;  1655 ;   937 ;  1021 ;  1006 
ES;  1280 ;  1726 ;   999 ;  1041 ;  1033 ;  1325 ;  1736 ;  1077 ;  1103 ;  1098 ;  1237 ;  1717 ;   923 ;   980 ;   969 
RJ;  1685 ;  2389 ;  1068 ;  1119 ;  1106 ;  1733 ;  2491 ;  1085 ;  1160 ;  1141 ;  1641 ;  2300 ;  1051 ;  1079 ;  1072 
SP;  1816 ;  2235 ;  1167 ;  1144 ;  1148 ;  1882 ;  2316 ;  1247 ;  1219 ;  1224 ;  1755 ;  2162 ;  1095 ;  1069 ;  1074 
PR;  1529 ;  1750 ;  1313 ;  1043 ;  1073 ;  1575 ;  1815 ;  1390 ;  1080 ;  1114 ;  1484 ;  1689 ;  1232 ;  1004 ;  1029 
SC;  1685 ;  1779 ;  1179 ;  1284 ;  1265 ;  1743 ;  1839 ;  1251 ;  1337 ;  1321 ;  1625 ;  1719 ;  1102 ;  1231 ;  1207 
RS;  1767 ;  1899 ;  1149 ;  1220 ;  1198 ;  1813 ;  1954 ;  1185 ;  1241 ;  1225 ;  1722 ;  1847 ;  1113 ;  1198 ;  1172 
MS;  1435 ;  1795 ;  1205 ;  1153 ;  1158 ;  1492 ;  1836 ;  1278 ;  1226 ;  1232 ;  1379 ;  1756 ;  1125 ;  1078 ;  1083 
MT;  1322 ;  1645 ;  1109 ;  1188 ;  1177 ;  1370 ;  1682 ;  1287 ;  1216 ;  1226 ;  1272 ;  1607 ;   940 ;  1160 ;  1128 
GO;  1270 ;  1577 ;  1087 ;  1128 ;  1123 ;  1298 ;  1591 ;  1151 ;  1167 ;  1165 ;  1244 ;  1563 ;  1014 ;  1091 ;  1082 
DF;  2480 ;  3367 ;  1668 ;  1957 ;  1906 ;  2585 ;  3511 ;  1660 ;  2058 ;  1984 ;  2383 ;  3238 ;  1675 ;  1863 ;  1831 