uf;renda_total;renda_homem;renda_mulher
RO;  1167 ;  1050 ; 976
AC;   882 ;   894 ; 870
AM;   810 ;   841 ; 777
RR;  1027 ;  1057 ; 997
PA;   828 ;   832 ; 823
AP;   844 ;   900 ; 791
TO;  1055 ;  1152 ; 957
MA;   639 ;   649 ; 629
PI;   847 ;   875 ; 821 
CE;   899 ;   894 ; 904
RN;  1110 ;  1214 ; 1011
PB;   872 ;   897 ; 847
PE;   838 ;   871 ; 807
AL;   757 ;   769 ; 745
SE;   922 ;   966 ; 881
BA;   845 ;   866 ; 826
MG;  1308 ;  1337 ; 1280
ES;  1280 ;  1325 ; 1098
RJ;  1685 ;  1733 ; 1141
SP;  1816 ;  1882 ; 1224
PR;  1529 ;  1575 ; 1114
SC;  1685 ;  1743 ; 1321
RS;  1767 ;  1813 ; 1225
MS;  1435 ;  1492 ; 1232
MT;  1322 ;  1370 ; 1226
GO;  1270 ;  1298 ; 1165
DF;  2480 ;  2585 ; 1984